info,year 1,year 2,year 3,year 4,year 5,model year,model,engine,cost,,,
Depreciation,16834,2179,2063,2420,2293,2023,Kia Niro EV Wind 4dr SUV,electric DD,43141,6,,
Fuel,830,855,880,907,934,2023,Kia Niro EV Wind 4dr SUV,electric DD,43141,7,,
Insurance,1324,1370,1418,1468,1519,2023,Nissan LEAF S 4dr Hatchback,electric DD,30119,1,,
Maintenance,241,329,343,339,1595,2023,Nissan LEAF S 4dr Hatchback,electric DD,30119,2,,
Repairs,0,0,99,238,346,2023,Nissan LEAF S 4dr Hatchback,electric DD,30119,3,,
Taxes_Fees,1904,135,121,110,110,2023,Nissan LEAF S 4dr Hatchback,electric DD,30119,4,,
Financing,2382,1942,1456,924,339,2023,Nissan LEAF S 4dr Hatchback,electric DD,30119,5,,
Depreciation,11625,1870,1769,2075,1965,2023,Nissan LEAF S 4dr Hatchback,electric DD,30119,6,,
Fuel,842,868,894,921,948,2023,Nissan LEAF S 4dr Hatchback,electric DD,30119,7,,
Insurance,1324,1370,1418,1468,1519,2023,Nissan LEAF SV PLUS 4dr Hatchback,electric DD,38513,1,,
Maintenance,241,329,343,339,1985,2023,Nissan LEAF SV PLUS 4dr Hatchback,electric DD,38513,2,,
Repairs,0,0,99,238,346,2023,Nissan LEAF SV PLUS 4dr Hatchback,electric DD,38513,3,,
Taxes_Fees,2432,173,155,141,141,2023,Nissan LEAF SV PLUS 4dr Hatchback,electric DD,38513,4,,
Financing,3046,2483,1862,1182,433,2023,Nissan LEAF SV PLUS 4dr Hatchback,electric DD,38513,5,,
Depreciation,14835,2394,2266,2657,2517,2023,Nissan LEAF SV PLUS 4dr Hatchback,electric DD,38513,6,,
Fuel,861,887,914,941,969,2023,Nissan LEAF SV PLUS 4dr Hatchback,electric DD,38513,7,,
Insurance,1763,1825,1889,1955,2023,2023,Volkswagen ID.4 AWD Pro 4dr SUV AWD,electric DD,49025,1,,
Maintenance,66,369,357,1077,1514,2023,Volkswagen ID.4 AWD Pro 4dr SUV AWD,electric DD,49025,2,,
Repairs,0,0,0,398,607,2023,Volkswagen ID.4 AWD Pro 4dr SUV AWD,electric DD,49025,3,,
Taxes_Fees,3093,220,198,179,179,2023,Volkswagen ID.4 AWD Pro 4dr SUV AWD,electric DD,49025,4,,
Financing,3878,3160,2371,1504,551,2023,Volkswagen ID.4 AWD Pro 4dr SUV AWD,electric DD,49025,5,,
Depreciation,17276,2419,2290,2687,2545,2023,Volkswagen ID.4 AWD Pro 4dr SUV AWD,electric DD,49025,6,,
Fuel,948,977,1006,1036,1068,2023,Volkswagen ID.4 AWD Pro 4dr SUV AWD,electric DD,49025,7,,
Insurance,1763,1825,1889,1955,2023,2023,Volkswagen ID.4 AWD Pro S 4dr SUV AWD,electric DD,54324,1,,
Maintenance,66,369,357,1077,1514,2023,Volkswagen ID.4 AWD Pro S 4dr SUV AWD,electric DD,54324,2,,
Repairs,0,0,0,398,607,2023,Volkswagen ID.4 AWD Pro S 4dr SUV AWD,electric DD,54324,3,,
Taxes_Fees,3426,244,219,199,199,2023,Volkswagen ID.4 AWD Pro S 4dr SUV AWD,electric DD,54324,4,,
Financing,4297,3501,2628,1666,611,2023,Volkswagen ID.4 AWD Pro S 4dr SUV AWD,electric DD,54324,5,,
Depreciation,19275,2669,2528,2965,2808,2023,Volkswagen ID.4 AWD Pro S 4dr SUV AWD,electric DD,54324,6,,
Fuel,948,977,1006,1036,1068,2023,Volkswagen ID.4 AWD Pro S 4dr SUV AWD,electric DD,54324,7,,
Insurance,1763,1825,1889,1955,2023,2023,Volkswagen ID.4 AWD Pro S Plus 4dr SUV AWD,electric DD,56425,1,,
Maintenance,66,369,357,1077,1514,2023,Volkswagen ID.4 AWD Pro S Plus 4dr SUV AWD,electric DD,56425,2,,
Repairs,0,0,0,398,607,2023,Volkswagen ID.4 AWD Pro S Plus 4dr SUV AWD,electric DD,56425,3,,
Taxes_Fees,3558,254,227,206,206,2023,Volkswagen ID.4 AWD Pro S Plus 4dr SUV AWD,electric DD,56425,4,,
Financing,4463,3637,2729,1731,634,2023,Volkswagen ID.4 AWD Pro S Plus 4dr SUV AWD,electric DD,56425,5,,
Depreciation,19957,2778,2631,3086,2922,2023,Volkswagen ID.4 AWD Pro S Plus 4dr SUV AWD,electric DD,56425,6,,
Fuel,948,977,1006,1036,1068,2023,Volkswagen ID.4 AWD Pro S Plus 4dr SUV AWD,electric DD,56425,7,,
Insurance,1763,1825,1889,1955,2023,2023,Volkswagen ID.4 AWD Pro S Plus 4dr SUV AWD w/VW Sound,electric DD,56509,1,,
Maintenance,66,369,357,1077,1514,2023,Volkswagen ID.4 AWD Pro S Plus 4dr SUV AWD w/VW Sound,electric DD,56509,2,,
Repairs,0,0,0,398,607,2023,Volkswagen ID.4 AWD Pro S Plus 4dr SUV AWD w/VW Sound,electric DD,56509,3,,
Taxes_Fees,3564,254,228,206,206,2023,Volkswagen ID.4 AWD Pro S Plus 4dr SUV AWD w/VW Sound,electric DD,56509,4,,
Financing,4470,3642,2733,1734,635,2023,Volkswagen ID.4 AWD Pro S Plus 4dr SUV AWD w/VW Sound,electric DD,56509,5,,
Depreciation,19986,2782,2634,3090,2927,2023,Volkswagen ID.4 AWD Pro S Plus 4dr SUV AWD w/VW Sound,electric DD,56509,6,,
Fuel,948,977,1006,1036,1068,2023,Volkswagen ID.4 AWD Pro S Plus 4dr SUV AWD w/VW Sound,electric DD,56509,7,,
Insurance,1763,1825,1889,1955,2023,2023,Volkswagen ID.4 Pro 4dr SUV w/LG Energy Solution Battery 135kW DC Fast Charging Capability,electric DD,45332,1,,
Maintenance,66,369,357,972,1624,2023,Volkswagen ID.4 Pro 4dr SUV w/LG Energy Solution Battery 135kW DC Fast Charging Capability,electric DD,45332,2,,
Repairs,0,0,0,357,545,2023,Volkswagen ID.4 Pro 4dr SUV w/LG Energy Solution Battery 135kW DC Fast Charging Capability,electric DD,45332,3,,
Taxes_Fees,2861,204,183,166,166,2023,Volkswagen ID.4 Pro 4dr SUV w/LG Energy Solution Battery 135kW DC Fast Charging Capability,electric DD,45332,4,,
Financing,3586,2922,2192,1391,509,2023,Volkswagen ID.4 Pro 4dr SUV w/LG Energy Solution Battery 135kW DC Fast Charging Capability,electric DD,45332,5,,
Depreciation,16014,2233,2115,2481,2349,2023,Volkswagen ID.4 Pro 4dr SUV w/LG Energy Solution Battery 135kW DC Fast Charging Capability,electric DD,45332,6,,
Fuel,874,900,927,955,983,2023,Volkswagen ID.4 Pro 4dr SUV w/LG Energy Solution Battery 135kW DC Fast Charging Capability,electric DD,45332,7,,
Insurance,1763,1825,1889,1955,2023,2023,Volkswagen ID.4 Pro 4dr SUV w/SK On Battery 170kW DC Fast Charging Capability,electric DD,45249,1,,
Maintenance,66,369,357,972,1624,2023,Volkswagen ID.4 Pro 4dr SUV w/SK On Battery 170kW DC Fast Charging Capability,electric DD,45249,2,,
Repairs,0,0,0,357,545,2023,Volkswagen ID.4 Pro 4dr SUV w/SK On Battery 170kW DC Fast Charging Capability,electric DD,45249,3,,
Taxes_Fees,2856,203,182,165,165,2023,Volkswagen ID.4 Pro 4dr SUV w/SK On Battery 170kW DC Fast Charging Capability,electric DD,45249,4,,
Financing,3579,2917,2188,1388,509,2023,Volkswagen ID.4 Pro 4dr SUV w/SK On Battery 170kW DC Fast Charging Capability,electric DD,45249,5,,
Depreciation,15985,2229,2111,2476,2345,2023,Volkswagen ID.4 Pro 4dr SUV w/SK On Battery 170kW DC Fast Charging Capability,electric DD,45249,6,,
Fuel,874,900,927,955,983,2023,Volkswagen ID.4 Pro 4dr SUV w/SK On Battery 170kW DC Fast Charging Capability,electric DD,45249,7,,
Insurance,1763,1825,1889,1955,2023,2023,Volkswagen ID.4 Pro S 4dr SUV w/LG Energy Solution Battery 135kW DC Fast Charging Capability,electric DD,50528,1,,
Maintenance,66,369,357,972,1624,2023,Volkswagen ID.4 Pro S 4dr SUV w/LG Energy Solution Battery 135kW DC Fast Charging Capability,electric DD,50528,2,,
Repairs,0,0,0,357,545,2023,Volkswagen ID.4 Pro S 4dr SUV w/LG Energy Solution Battery 135kW DC Fast Charging Capability,electric DD,50528,3,,
Taxes_Fees,3187,227,204,185,185,2023,Volkswagen ID.4 Pro S 4dr SUV w/LG Energy Solution Battery 135kW DC Fast Charging Capability,electric DD,50528,4,,
Financing,3997,3256,2444,1550,568,2023,Volkswagen ID.4 Pro S 4dr SUV w/LG Energy Solution Battery 135kW DC Fast Charging Capability,electric DD,50528,5,,
Depreciation,17843,2490,2358,2766,2620,2023,Volkswagen ID.4 Pro S 4dr SUV w/LG Energy Solution Battery 135kW DC Fast Charging Capability,electric DD,50528,6,,
Fuel,874,900,927,955,983,2023,Volkswagen ID.4 Pro S 4dr SUV w/LG Energy Solution Battery 135kW DC Fast Charging Capability,electric DD,50528,7,,
Insurance,1763,1825,1889,1955,2023,2023,Volkswagen ID.4 Pro S 4dr SUV w/SK On Battery 170kW DC Fast Charging Capability,electric DD,50420,1,,
Maintenance,66,369,357,972,1624,2023,Volkswagen ID.4 Pro S 4dr SUV w/SK On Battery 170kW DC Fast Charging Capability,electric DD,50420,2,,
Repairs,0,0,0,357,545,2023,Volkswagen ID.4 Pro S 4dr SUV w/SK On Battery 170kW DC Fast Charging Capability,electric DD,50420,3,,
Taxes_Fees,3180,227,203,184,184,2023,Volkswagen ID.4 Pro S 4dr SUV w/SK On Battery 170kW DC Fast Charging Capability,electric DD,50420,4,,
Financing,3988,3250,2439,1546,567,2023,Volkswagen ID.4 Pro S 4dr SUV w/SK On Battery 170kW DC Fast Charging Capability,electric DD,50420,5,,
Depreciation,17806,2484,2353,2760,2614,2023,Volkswagen ID.4 Pro S 4dr SUV w/SK On Battery 170kW DC Fast Charging Capability,electric DD,50420,6,,
Fuel,874,900,927,955,983,2023,Volkswagen ID.4 Pro S 4dr SUV w/SK On Battery 170kW DC Fast Charging Capability,electric DD,50420,7,,
Insurance,1763,1825,1889,1955,2023,2023,Volkswagen ID.4 Pro S Plus 4dr SUV w/LG Energy Solution Battery 135kW DC Fast Charging Capability,electric DD,52833,1,,
Maintenance,66,369,357,972,1624,2023,Volkswagen ID.4 Pro S Plus 4dr SUV w/LG Energy Solution Battery 135kW DC Fast Charging Capability,electric DD,52833,2,,
Repairs,0,0,0,357,545,2023,Volkswagen ID.4 Pro S Plus 4dr SUV w/LG Energy Solution Battery 135kW DC Fast Charging Capability,electric DD,52833,3,,
Taxes_Fees,3332,238,213,193,193,2023,Volkswagen ID.4 Pro S Plus 4dr SUV w/LG Energy Solution Battery 135kW DC Fast Charging Capability,electric DD,52833,4,,
Financing,4179,3405,2556,1620,594,2023,Volkswagen ID.4 Pro S Plus 4dr SUV w/LG Energy Solution Battery 135kW DC Fast Charging Capability,electric DD,52833,5,,
Depreciation,18656,2603,2466,2892,2739,2023,Volkswagen ID.4 Pro S Plus 4dr SUV w/LG Energy Solution Battery 135kW DC Fast Charging Capability,electric DD,52833,6,,
Fuel,874,900,927,955,983,2023,Volkswagen ID.4 Pro S Plus 4dr SUV w/LG Energy Solution Battery 135kW DC Fast Charging Capability,electric DD,52833,7,,
Insurance,1763,1825,1889,1955,2023,2023,Volkswagen ID.4 Pro S Plus 4dr SUV w/SK On Battery 170kW DC Fast Charging Capability,electric DD,52941,1,,
Maintenance,66,369,357,972,1624,2023,Volkswagen ID.4 Pro S Plus 4dr SUV w/SK On Battery 170kW DC Fast Charging Capability,electric DD,52941,2,,
Repairs,0,0,0,357,545,2023,Volkswagen ID.4 Pro S Plus 4dr SUV w/SK On Battery 170kW DC Fast Charging Capability,electric DD,52941,3,,
Taxes_Fees,3339,238,213,193,193,2023,Volkswagen ID.4 Pro S Plus 4dr SUV w/SK On Battery 170kW DC Fast Charging Capability,electric DD,52941,4,,
Financing,4187,3413,2560,1625,595,2023,Volkswagen ID.4 Pro S Plus 4dr SUV w/SK On Battery 170kW DC Fast Charging Capability,electric DD,52941,5,,
Depreciation,18693,2609,2471,2898,2745,2023,Volkswagen ID.4 Pro S Plus 4dr SUV w/SK On Battery 170kW DC Fast Charging Capability,electric DD,52941,6,,
Fuel,874,900,927,955,983,2023,Volkswagen ID.4 Pro S Plus 4dr SUV w/SK On Battery 170kW DC Fast Charging Capability,electric DD,52941,7,,
Insurance,1763,1825,1889,1955,2023,2023,Volkswagen ID.4 Pro S Plus 4dr SUV w/VW Sound LG Energy Solution Battery 135kW DC Fast Charging Capability,electric DD,53000,1,,
Maintenance,66,369,357,972,1624,2023,Volkswagen ID.4 Pro S Plus 4dr SUV w/VW Sound LG Energy Solution Battery 135kW DC Fast Charging Capability,electric DD,53000,2,,
Repairs,0,0,0,357,545,2023,Volkswagen ID.4 Pro S Plus 4dr SUV w/VW Sound LG Energy Solution Battery 135kW DC Fast Charging Capability,electric DD,53000,3,,
Taxes_Fees,3343,238,214,194,194,2023,Volkswagen ID.4 Pro S Plus 4dr SUV w/VW Sound LG Energy Solution Battery 135kW DC Fast Charging Capability,electric DD,53000,4,,
Financing,4192,3416,2564,1626,595,2023,Volkswagen ID.4 Pro S Plus 4dr SUV w/VW Sound LG Energy Solution Battery 135kW DC Fast Charging Capability,electric DD,53000,5,,
Depreciation,18714,2612,2473,2901,2748,2023,Volkswagen ID.4 Pro S Plus 4dr SUV w/VW Sound LG Energy Solution Battery 135kW DC Fast Charging Capability,electric DD,53000,6,,
Fuel,874,900,927,955,983,2023,Volkswagen ID.4 Pro S Plus 4dr SUV w/VW Sound LG Energy Solution Battery 135kW DC Fast Charging Capability,electric DD,53000,7,,
Insurance,1763,1825,1889,1955,2023,2023,Volkswagen ID.4 Pro S Plus 4dr SUV w/VW Sound SK On Battery 170kW DC Fast Charging Capability,electric DD,53000,1,,
Maintenance,66,369,357,972,1624,2023,Volkswagen ID.4 Pro S Plus 4dr SUV w/VW Sound SK On Battery 170kW DC Fast Charging Capability,electric DD,53000,2,,
Repairs,0,0,0,357,545,2023,Volkswagen ID.4 Pro S Plus 4dr SUV w/VW Sound SK On Battery 170kW DC Fast Charging Capability,electric DD,53000,3,,
Taxes_Fees,3343,238,214,194,194,2023,Volkswagen ID.4 Pro S Plus 4dr SUV w/VW Sound SK On Battery 170kW DC Fast Charging Capability,electric DD,53000,4,,
Financing,4192,3416,2564,1626,595,2023,Volkswagen ID.4 Pro S Plus 4dr SUV w/VW Sound SK On Battery 170kW DC Fast Charging Capability,electric DD,53000,5,,
Depreciation,18714,2612,2473,2901,2748,2023,Volkswagen ID.4 Pro S Plus 4dr SUV w/VW Sound SK On Battery 170kW DC Fast Charging Capability,electric DD,53000,6,,
Fuel,874,900,927,955,983,2023,Volkswagen ID.4 Pro S Plus 4dr SUV w/VW Sound SK On Battery 170kW DC Fast Charging Capability,electric DD,53000,7,,
Insurance,1763,1825,1889,1955,2023,2023,Volkswagen ID.4 S 4dr SUV,electric DD,45770,1,,
Maintenance,66,369,357,972,1624,2023,Volkswagen ID.4 S 4dr SUV,electric DD,45770,2,,
Repairs,0,0,0,357,545,2023,Volkswagen ID.4 S 4dr SUV,electric DD,45770,3,,
Taxes_Fees,2888,206,184,167,167,2023,Volkswagen ID.4 S 4dr SUV,electric DD,45770,4,,
Financing,3620,2950,2214,1404,515,2023,Volkswagen ID.4 S 4dr SUV,electric DD,45770,5,,
Depreciation,16328,2241,2123,2490,2358,2023,Volkswagen ID.4 S 4dr SUV,electric DD,45770,6,,
Fuel,874,900,927,955,983,2023,Volkswagen ID.4 S 4dr SUV,electric DD,45770,7,,
Insurance,1763,1825,1889,1955,2023,2023,Volkswagen ID.4 Standard 4dr SUV,electric DD,39993,1,,
Maintenance,66,369,357,972,1624,2023,Volkswagen ID.4 Standard 4dr SUV,electric DD,39993,2,,
Repairs,0,0,0,357,545,2023,Volkswagen ID.4 Standard 4dr SUV,electric DD,39993,3,,
Taxes_Fees,2525,180,161,146,146,2023,Volkswagen ID.4 Standard 4dr SUV,electric DD,39993,4,,
Financing,3163,2578,1934,1227,450,2023,Volkswagen ID.4 Standard 4dr SUV,electric DD,39993,5,,
Depreciation,14139,1969,1865,2187,2072,2023,Volkswagen ID.4 Standard 4dr SUV,electric DD,39993,6,,
Fuel,874,900,927,955,983,2023,Volkswagen ID.4 Standard 4dr SUV,electric DD,39993,7,,49
,,,,,,,,,,,,70
,,,,,,,,,,,,242
,,,,,,,,,,,,361
